pdq,Spdq,aic
"(1, 2, 2)","(1, 1, 1, 36)",1886.4113970710448
"(1, 2, 2)","(2, 1, 0, 36)",1886.4154712484385
"(0, 2, 2)","(2, 1, 1, 36)",1886.7248551734924
"(0, 2, 2)","(1, 1, 2, 36)",1886.72494483846
"(1, 2, 1)","(0, 1, 2, 36)",1886.8099793496376
"(0, 2, 1)","(2, 1, 1, 36)",1886.8687274495323
"(2, 2, 1)","(1, 1, 1, 36)",1887.06627327257
"(2, 2, 1)","(2, 1, 0, 36)",1887.070094002907
"(0, 2, 1)","(0, 1, 2, 36)",1887.16761226732
"(1, 2, 1)","(2, 1, 1, 36)",1887.2326295161643
"(1, 2, 1)","(1, 1, 2, 36)",1887.2327149763855
"(2, 2, 2)","(1, 1, 1, 36)",1887.4359238205402
"(2, 2, 2)","(2, 1, 0, 36)",1887.4409761657002
"(1, 2, 2)","(0, 1, 2, 36)",1887.9936465863184
"(1, 2, 2)","(1, 1, 2, 36)",1888.4112997545228
"(1, 2, 2)","(2, 1, 1, 36)",1888.4113421113811
"(2, 2, 1)","(0, 1, 2, 36)",1888.6507297520766
"(0, 2, 2)","(2, 1, 2, 36)",1888.724923423268
"(0, 2, 1)","(2, 1, 2, 36)",1888.8689960878019
"(1, 2, 2)","(0, 1, 1, 36)",1888.959448413417
"(2, 2, 1)","(2, 1, 1, 36)",1889.0661400089175
"(2, 2, 1)","(1, 1, 2, 36)",1889.0662138118564
"(2, 2, 2)","(0, 1, 2, 36)",1889.1015288371723
"(1, 2, 1)","(2, 1, 2, 36)",1889.2326894621792
"(2, 2, 2)","(1, 1, 2, 36)",1889.4359332953684
"(2, 2, 2)","(2, 1, 1, 36)",1889.4359621899805
"(2, 2, 1)","(0, 1, 1, 36)",1889.6023426419288
"(1, 2, 2)","(2, 1, 2, 36)",1890.4112825235645
"(1, 1, 0)","(1, 1, 0, 36)",1890.5131479912059
"(2, 2, 1)","(2, 1, 2, 36)",1891.0661926404505
"(2, 2, 2)","(2, 1, 2, 36)",1891.435965361722
"(0, 1, 0)","(1, 1, 1, 36)",1891.6012240435077
"(1, 1, 0)","(1, 1, 1, 36)",1891.9049064607711
"(1, 1, 0)","(2, 1, 0, 36)",1891.9140808284449
"(2, 1, 0)","(1, 1, 0, 36)",1892.7756938391
