,pdq,Spdq,aic
1553,"(5, 2, 2)","(0, 1, 1, 12)",1955.2809702734432
422,"(1, 2, 4)","(1, 1, 0, 12)",1955.3064427060312
994,"(3, 2, 4)","(0, 1, 1, 12)",1955.3134633444788
1705,"(5, 5, 3)","(0, 1, 1, 12)",1955.335182115249
1285,"(4, 2, 4)","(1, 1, 1, 12)",1955.385089558397
118,"(0, 2, 2)","(1, 1, 0, 12)",1955.427496651867
1644,"(5, 4, 1)","(1, 1, 0, 12)",1955.67028998183
123,"(0, 2, 3)","(0, 1, 1, 12)",1955.6770474583182
702,"(2, 2, 3)","(1, 1, 0, 12)",1955.7634105588613
1589,"(5, 3, 0)","(1, 1, 1, 12)",1955.8047263078436
1549,"(5, 2, 1)","(1, 1, 1, 12)",1955.837483952145
997,"(3, 2, 4)","(1, 1, 0, 12)",1955.8409042744458
718,"(2, 2, 5)","(1, 1, 0, 12)",1955.8534219568687
1436,"(4, 5, 5)","(1, 1, 0, 12)",1955.8603576747569
1565,"(5, 2, 3)","(1, 1, 1, 12)",1955.8816711067536
131,"(0, 2, 4)","(0, 1, 1, 12)",1955.93842125868
1281,"(4, 2, 4)","(0, 1, 1, 12)",1955.9999318043515
430,"(1, 2, 5)","(1, 1, 0, 12)",1956.0450063672572
1652,"(5, 4, 2)","(1, 1, 0, 12)",1956.0720063739502
1249,"(4, 2, 0)","(0, 1, 1, 12)",1956.1479971287765
1130,"(3, 5, 3)","(0, 1, 1, 12)",1956.2324649707027
989,"(3, 2, 3)","(1, 1, 0, 12)",1956.2409889052706
1005,"(3, 2, 5)","(1, 1, 0, 12)",1956.2864879863102
1709,"(5, 5, 3)","(1, 1, 1, 12)",1956.3024926720213
1001,"(3, 2, 5)","(0, 1, 0, 12)",1956.391120481984
1421,"(4, 5, 3)","(1, 1, 1, 12)",1956.413225390864
402,"(1, 2, 2)","(0, 1, 0, 12)",1956.4215298502052
1561,"(5, 2, 3)","(0, 1, 1, 12)",1956.4444441764558
1268,"(4, 2, 2)","(1, 1, 0, 12)",1956.459226403701
1284,"(4, 2, 4)","(1, 1, 0, 12)",1956.5054102108754
710,"(2, 2, 4)","(1, 1, 0, 12)",1956.520267742748
279,"(0, 5, 4)","(1, 1, 1, 12)",1956.5285879054127
1264,"(4, 2, 2)","(0, 1, 0, 12)",1956.6768703841417
139,"(0, 2, 5)","(0, 1, 1, 12)",1956.7427261912208
1357,"(4, 4, 1)","(1, 1, 1, 12)",1956.780577642076
278,"(0, 5, 4)","(1, 1, 0, 12)",1956.8134677450132
1708,"(5, 5, 3)","(1, 1, 0, 12)",1956.8329171242322
1580,"(5, 2, 5)","(1, 1, 0, 12)",1956.9080471230964
1353,"(4, 4, 1)","(0, 1, 1, 12)",1956.9225237039295
1276,"(4, 2, 3)","(1, 1, 0, 12)",1956.9301804324032
1548,"(5, 2, 1)","(1, 1, 0, 12)",1957.0350338587887
494,"(1, 4, 1)","(1, 1, 0, 12)",1957.056331266727
965,"(3, 2, 0)","(1, 1, 0, 12)",1957.097433761764
98,"(0, 2, 0)","(0, 1, 0, 12)",1957.1546889942576
690,"(2, 2, 2)","(0, 1, 0, 12)",1957.2034983477301
1432,"(4, 5, 5)","(0, 1, 0, 12)",1957.265642021454
1150,"(3, 5, 5)","(1, 1, 1, 12)",1957.2792301414004
1273,"(4, 2, 3)","(0, 1, 1, 12)",1957.292660870951
985,"(3, 2, 3)","(0, 1, 0, 12)",1957.4087876907931
567,"(1, 5, 4)","(1, 1, 1, 12)",1957.4192357275604
1417,"(4, 5, 3)","(0, 1, 1, 12)",1957.429520624727
1078,"(3, 4, 2)","(1, 1, 1, 12)",1957.4878418419778
1537,"(5, 2, 0)","(0, 1, 1, 12)",1957.5087242798359
126,"(0, 2, 3)","(1, 1, 0, 12)",1957.7365487987622
1141,"(3, 5, 4)","(1, 1, 0, 12)",1957.787044562593
1556,"(5, 2, 2)","(1, 1, 0, 12)",1957.8871371934442
1081,"(3, 4, 3)","(0, 1, 0, 12)",1957.9611101067483
134,"(0, 2, 4)","(1, 1, 0, 12)",1957.9612341972884
1356,"(4, 4, 1)","(1, 1, 0, 12)",1957.9765832934006
1133,"(3, 5, 3)","(1, 1, 0, 12)",1958.0272529118704
1365,"(4, 4, 2)","(1, 1, 1, 12)",1958.0888877607165
1252,"(4, 2, 0)","(1, 1, 0, 12)",1958.1082322022328
1569,"(5, 2, 4)","(0, 1, 1, 12)",1958.1203381565392
1280,"(4, 2, 4)","(0, 1, 0, 12)",1958.141840877982
566,"(1, 5, 4)","(1, 1, 0, 12)",1958.3191402769976
969,"(3, 2, 1)","(0, 1, 0, 12)",1958.3689925347949
1129,"(3, 5, 3)","(0, 1, 0, 12)",1958.3978387609322
1420,"(4, 5, 3)","(1, 1, 0, 12)",1958.4020200009227
271,"(0, 5, 3)","(1, 1, 1, 12)",1958.5339198929955
1138,"(3, 5, 4)","(0, 1, 1, 12)",1958.5724299982935
270,"(0, 5, 3)","(1, 1, 0, 12)",1958.7017282410245
1585,"(5, 3, 0)","(0, 1, 1, 12)",1958.720903743235
1074,"(3, 4, 2)","(0, 1, 1, 12)",1958.7629292689182
1568,"(5, 2, 4)","(0, 1, 0, 12)",1958.8196201430505
993,"(3, 2, 4)","(0, 1, 0, 12)",1958.8767453872474
1572,"(5, 2, 4)","(1, 1, 0, 12)",1958.8942127878902
410,"(1, 2, 3)","(0, 1, 0, 12)",1958.965016689171
386,"(1, 2, 0)","(0, 1, 0, 12)",1958.994968155502
106,"(0, 2, 1)","(0, 1, 0, 12)",1959.0198059144575
142,"(0, 2, 5)","(1, 1, 0, 12)",1959.0687375758162
1564,"(5, 2, 3)","(1, 1, 0, 12)",1959.0979526077556
1301,"(4, 3, 0)","(1, 1, 1, 12)",1959.1156858339798
1640,"(5, 4, 1)","(0, 1, 0, 12)",1959.1493086803155
1416,"(4, 5, 3)","(0, 1, 0, 12)",1959.2231364820254
841,"(2, 5, 3)","(0, 1, 0, 12)",1959.3576942921934
1704,"(5, 5, 3)","(0, 1, 0, 12)",1959.4228137854452
1540,"(5, 2, 0)","(1, 1, 0, 12)",1959.6499104115137
1260,"(4, 2, 1)","(1, 1, 0, 12)",1959.7788006388162
418,"(1, 2, 4)","(0, 1, 0, 12)",1959.8339323295456
1137,"(3, 5, 4)","(0, 1, 0, 12)",1959.8651233524859
1070,"(3, 4, 1)","(1, 1, 1, 12)",1959.910245931183
555,"(1, 5, 3)","(0, 1, 1, 12)",1959.9321579573218
1293,"(4, 2, 5)","(1, 1, 1, 12)",1960.1528993362995
977,"(3, 2, 2)","(0, 1, 0, 12)",1960.2098095941874
1066,"(3, 4, 1)","(0, 1, 1, 12)",1960.2784939015255
559,"(1, 5, 3)","(1, 1, 1, 12)",1960.4917928234747
674,"(2, 2, 0)","(0, 1, 0, 12)",1960.5169389750276
114,"(0, 2, 2)","(0, 1, 0, 12)",1960.5359000942171
1588,"(5, 3, 0)","(1, 1, 0, 12)",1960.5952703666273
1077,"(3, 4, 2)","(1, 1, 0, 12)",1960.7277826138225
698,"(2, 2, 3)","(0, 1, 0, 12)",1960.7379859503503
